Mean,StdDev,Label
125.82662774368465,75.30888012784435,Covid
177.8524775841758,57.71412972949428,Covid
125.5788642578125,75.56421192203086,Covid
114.67465310029762,54.141745628575144,Covid
160.97015103120506,77.5528085341249,Covid
126.17586815702319,75.16838129449219,Covid
119.94991945512982,69.38226481304925,Covid
127.62894090856402,74.10401342127295,Covid
128.37731446400178,73.53769287204703,Covid
128.19873278392413,73.7304604734223,Covid
128.31314882575617,73.48701619235612,Covid
128.39941074084825,73.68126627287597,Covid
127.81739715497376,73.94625417602523,Covid
128.3054869494746,73.7603585251767,Covid
128.10683587020858,73.84530585320309,Covid
128.44568826066404,73.46443135278727,Covid
131.1453997739841,32.097663726022745,Covid
128.27089798884253,73.58387503378925,Covid
192.6819318964091,63.5732396362277,Covid
128.09788850541653,74.02153151980859,Covid
128.34658520577563,73.57343501597217,Covid
128.1895657762729,73.56353933220129,Covid
128.83192114860898,75.52209373736406,Covid
126.21021000495445,75.00319388351507,Covid
124.69305544754647,75.77292216776648,Covid
128.35364920634922,74.10956896326805,Covid
128.66736890956943,74.40893748230395,Covid
128.50703227009888,73.83043552552925,Covid
130.3942981888745,77.4433870995524,Covid
127.92140127388535,73.87656377586926,Covid
128.38441165448754,73.98596431938277,Covid
127.95808053782892,73.99174548138191,Covid
128.10970908161775,73.6866639052834,Covid
128.550722954593,74.28722891655669,Covid
128.30105695549662,73.82108671849726,Covid
121.07276609525194,39.001088525838355,Covid
128.57169496977215,73.74342682987806,Covid
128.7169587785355,73.04068149176604,Covid
132.50981421589765,79.91564949493431,Covid
128.15239590176208,73.82841502882853,Covid
128.32014534624585,74.26081424647833,Covid
110.11473189780618,64.96764120882676,Covid
128.21738263235565,73.55567405771127,Covid
101.62819482173488,60.551349165035525,Covid
128.5285384923143,74.12336770813347,Covid
114.46503716465773,77.60133707891154,Covid
97.89520215223132,65.20783869566256,Covid
121.3235418170554,68.21186688680402,Covid
150.72174697543116,59.28086265040782,Covid
121.86855747852027,39.779380115199935,Covid
128.18165650782896,73.69990435587182,Covid
115.939795743847,49.326568618001815,Covid
136.09464959919694,47.77541525919449,Covid
121.15237349156324,50.04471091069602,Covid
128.61585207315596,73.71805075844128,Covid
128.7418869836172,73.17709348388918,Covid
128.20731592365345,73.77184583036744,Covid
136.20646230207822,41.607997580786005,Covid
125.90661320808752,75.74412620594298,Covid
93.82993589909181,48.80921430640081,Covid
126.71956871765383,74.96374239501903,Covid
128.17574473185294,73.59644791994525,Covid
124.51098618492313,76.17667641961313,Covid
105.7097943010624,47.408958838757385,Covid
128.46591238848538,73.51200191265931,Covid
134.14304745922394,58.517723219871,Covid
174.86692739753437,65.07206677096255,Covid
128.42047740731073,73.64617127666445,Covid
107.62197582207652,55.46820231821864,Covid
183.00433005726802,64.30694302441526,Covid
136.91710822222936,52.51462574310682,Covid
165.4012546530703,36.30859753224674,Covid
145.62460064433105,44.55941357848391,Covid
146.1241558799249,45.736751423212596,Covid
163.02853227621983,31.77505577515432,Covid
136.00876598714677,61.66945856546274,Covid
159.6410762511023,64.65852843770338,Covid
165.50889137512291,66.44326038106567,Covid
125.4566032121116,49.73443720366327,Covid
156.02051503054497,62.03994476200286,Covid
186.14071463212582,44.276505671417034,Covid
139.04434498533476,59.49084183205131,Covid
152.49719398628315,56.92560748669847,Covid
146.48203359177452,59.059978066006764,Covid
