mean_pixels,std_pixels,median_pixels,mean_hist,std_hist,median_hist,label
58.51422119140625,64.38888308205532,59.0,3072.0,5531.79602389676,1194.0,0.0
39.59454345703125,62.648085089976874,0.0,3072.0,7711.059484597431,819.0,0.0
81.6572265625,79.05266389236937,78.0,3072.0,4477.804386638612,2104.5,0.0
71.1754150390625,88.07116452380822,0.0,3072.0,5978.308289139997,1375.5,0.0
22.2725830078125,47.560961757196175,0.0,3072.0,9325.230312169238,292.5,0.0
38.05120849609375,55.77854183949872,0.0,3072.0,7274.179438259686,436.5,0.0
35.07354736328125,52.434776481196245,0.0,3072.0,7518.14993864847,307.5,0.0
65.49920654296875,69.39456543751139,64.0,3072.0,5652.673427237771,681.0,0.0
54.80731201171875,72.70415200321878,0.0,3072.0,6467.697957929081,726.0,0.0
68.0478515625,73.61023919754747,65.0,3072.0,4992.554356238898,1527.0,0.0
48.3782958984375,59.442825837778045,2.0,3072.0,5972.913736192747,690.0,0.0
55.77801513671875,78.41218607689237,0.0,3072.0,7011.008664949716,1101.0,0.0
38.34375,60.455087684603726,0.0,3072.0,7622.466702124713,642.0,0.0
45.70330810546875,67.71368934276141,0.0,3072.0,6914.260942067489,1081.5,0.0
68.32928466796875,87.09952596689733,0.0,3072.0,5989.393218432064,1005.0,0.0
60.2537841796875,81.53731754945372,0.0,3072.0,6358.303783242824,1102.5,0.0
43.17266845703125,67.69710918027198,0.0,3072.0,7135.690768944518,822.0,0.0
74.06549072265625,86.79801794099204,60.0,3072.0,5243.216045520154,1450.5,0.0
58.14910888671875,74.86964286864325,0.0,3072.0,6216.700280293397,1618.5,0.0
54.79278564453125,65.62226068839307,3.0,3072.0,5926.530561804267,1056.0,0.0
76.42303466796875,75.58623786548698,69.0,3072.0,4594.628426216857,1509.0,0.0
36.546875,63.346820773803934,0.0,3072.0,8345.16119526759,688.5,0.0
63.16357421875,71.7092823020817,48.0,3072.0,5628.461434974925,1063.5,0.0
37.79168701171875,63.4709377449116,0.0,3072.0,7872.855565168206,813.0,0.0
76.75830078125,72.6142195597316,74.0,3072.0,4760.432740308385,1869.0,0.0
53.5089111328125,61.66817582716003,7.0,3072.0,5862.403869147877,618.0,0.0
80.433349609375,69.50303729670824,76.0,3072.0,3718.258866727813,1923.0,0.0
71.7720947265625,75.85912759104102,66.0,3072.0,5050.215985480225,1707.0,0.0
59.2730712890625,67.90022060669816,0.0,3072.0,6176.905930561028,670.5,0.0
66.2816162109375,78.96940875099428,0.0,3072.0,6056.628981950273,1447.5,0.0
57.4354248046875,66.92558582524298,28.0,3072.0,5744.35482669725,921.0,0.0
73.21173095703125,79.55570922746794,66.0,3072.0,5199.60801407183,1681.5,0.0
49.90264892578125,75.94741516939783,0.0,3072.0,7546.274445049027,799.5,0.0
56.34906005859375,89.80810322911096,0.0,3072.0,7918.184735152369,904.5,0.0
83.0206298828125,92.33481973101749,66.0,3072.0,5470.25383323297,1543.5,0.0
49.980224609375,73.45289549094875,0.0,3072.0,7142.924164864135,1408.5,0.0
67.63623046875,77.03670981443082,48.0,3072.0,5303.397696288673,2109.0,0.0
72.3209228515625,72.65169533256068,65.0,3072.0,4396.438842972799,1437.0,0.0
59.5859375,64.0705582774825,60.0,3072.0,5032.172157726721,1927.5,0.0
53.782958984375,60.94878511397427,59.0,3072.0,5435.434469754925,1462.5,0.0
69.09490966796875,81.30520263221219,2.0,3072.0,5868.413904114126,957.0,0.0
88.8001708984375,61.7849999254763,99.0,3072.0,2988.4393502294806,1843.5,0.0
62.0347900390625,66.7347692683628,55.0,3072.0,5031.33563281163,1404.0,0.0
76.4344482421875,67.9062174617261,80.0,3072.0,5015.15516958349,1000.5,0.0
72.043701171875,88.64139574940644,4.0,3072.0,5805.483313213465,1012.5,0.0
48.35009765625,63.297338734031904,0.0,3072.0,6341.070325662695,1413.0,0.0
32.15350341796875,55.8472150985102,0.0,3072.0,8043.696398422805,816.0,0.0
72.35955810546875,65.38537951407226,72.0,3072.0,4131.982998512942,1672.5,0.0
26.16900634765625,51.38927283147156,0.0,3072.0,8867.402339467855,534.0,0.0
62.37579345703125,69.03815466318015,62.0,3072.0,5743.217445387211,814.5,0.0
50.49365234375,72.36190433484371,0.0,3072.0,6802.109112253346,1237.5,0.0
93.24462890625,77.63355723804366,111.0,3072.0,4127.426831574365,1534.5,0.0
25.51788330078125,53.561964859418815,0.0,3072.0,9369.87730042395,211.5,0.0
69.620849609375,70.42654410872704,66.0,3072.0,4824.980427421442,1185.0,0.0
80.1712646484375,77.51323028113012,86.0,3072.0,4786.4345420155905,1639.5,0.0
64.2623291015625,81.34510453663015,0.0,3072.0,6228.48345305661,1158.0,0.0
74.55950927734375,75.81468897327655,74.0,3072.0,4980.525988788734,1434.0,0.0
62.22589111328125,82.52196195643033,0.0,3072.0,6689.8232599972325,957.0,0.0
60.38238525390625,66.90839436934652,47.0,3072.0,5695.822548148774,1147.5,0.0
74.1212158203125,62.02399952971758,74.0,3072.0,3487.110784732828,1962.0,0.0
57.65570068359375,73.25686428263013,0.0,3072.0,6130.491558594629,1630.5,0.0
42.41192626953125,70.76844311463665,0.0,3072.0,7746.236441007982,1044.0,0.0
86.31591796875,87.03068292867943,75.0,3072.0,4444.529362035985,2118.0,0.0
64.843994140625,79.78070424353069,0.0,3072.0,6040.897149844549,1395.0,0.0
72.1571044921875,78.3033252357984,60.0,3072.0,4984.731111103186,1798.5,0.0
62.33624267578125,75.45060221077398,3.0,3072.0,5776.8520082307805,1546.5,0.0
70.8001708984375,79.87477601671753,58.0,3072.0,4938.98752276213,1684.5,0.0
52.1907958984375,63.30822513988715,0.0,3072.0,6092.247368582468,1179.0,0.0
43.743408203125,59.38261427743994,0.0,3072.0,6998.44929252188,606.0,0.0
37.34210205078125,55.68992848481566,0.0,3072.0,7347.456141413843,583.5,0.0
65.2945556640625,83.95475875857645,0.0,3072.0,6321.45720937823,1297.5,0.0
92.71734619140625,80.2091276117291,95.0,3072.0,3714.475534984717,2298.0,0.0
65.25067138671875,74.43519815191247,20.0,3072.0,5731.2372682519435,1225.5,0.0
